productId,name,ticker,qsip,cusip,isin
2648989,Loan to Krisitin,KRISTINLOAN,,,
2609522,Komag Inc Wt 6/30/2005,KOMGW,,,
2665610,KC 19MAY17,KCK7,,,
28472,Loews Corp,L,,,
2214651,Pictet Global Megatrend Selection Fund Class P Dy (Usd) (Offshore),L757A3161,,,
476529,All-Bern Global Invt Euro Inc Opp C (Offshore),L00215654,,,
499957,All-Bern Greater China A (Offshore),L0023L103,,,
1775930,B & H Ocean Carriers,V10064109,,,
697692,Templeton Global Bond Fund A (Offshore) (EUR),TEMGIAALX,,,
1082347,BGF Latin American USD C2 (Offshore),L1049K152,,,
22316,Macy's Inc,M,,,
1447999,Star Bulk Carriers Corp Rts Exp 7/19/2013,Y8162K998,,,
1795589,Scorpio Bulkers Inc 7.50% 9/15/2019,SLTB,,,
2667594,Scorpio Tankers Inc Sr Nt Pfd 8.25% 6/1/2019,SBBC,,,
1930056,Altera Infrastructure L P Pfd D Unit Ser B,ALIN-PB,,,
670213,Baltic Trading Limited,BALT-OLD,,,
211704,Aegean Marine Petroleum Network,ANW,,,
943173,Golar LNG Partners LP,GMLP,,,
992466,Navios Maritime Midstream Partners LP,NAP,,,
471727,Navios Maritime Partners LP,NNA,,,
1700559,Transocean Partners Llc,RIGP,,,
1701183,VTTI Energy Partners LP,VTTI,,,
330269,Teekay Offshore Partners LP,TOO,,,
156206,Navios Maritime Holdings Inc,NM,,,
779625,MBF Hldgs Berhad Wts,MBFWF,,,
1202915,Seadrill Partners LLC,SDLP,,,
425657,Hipotecaria Su Casita SA,EF5313558,,,
425709,Metrofinanciera Fid 374,ED2191341,,,
425710,Metrofinanciera Fid 374,ED2195946,,,
646397,Urbi Desarrollos U,URBDF,,,
109936,Dryships Inc,DRYS,,,
2324869,Atlas Corp Perp Pfd Ser G Usd2 5,ATCO-PG,,,
1670168,Hermitage Offshore Service Ltd,PSV,,,
468864,Capital Clean Energy Carriers,CPLP,,,
1587052,Atlas Corp 8.25% Cum Red Perp Pfd,ATCO-PE,,,
347603,NetSuite Inc,N,,,
2311195,Idex As,IDXAF,,,
843611,Interxion Holding NV,INXN,,,
2360313,Patheon NV Com Usd0.01,PTHN,,,
124056,Aegon NV Perp Cap Secs 6.375% Call 06/15/2019,AEHCL,,,
845047,Wright Medical Group N V,WMGI,,,
544011,Norske Skogindus Akt,NKSJF,,,
2253348,Bonheur Asa Shs Isin#No0003110603,BNHUF,,,
1090564,Petroleum Geo Services ASA,PGEJF,,,
152023,Aegon NV Fltg Perp,AEB,,,
154946,ABG Sundal Collier A,ABGSF,,,
2636603,Mcc Global Nv Amsterdam Shs Isin #Nl0000,N5544L100,,,
368005,Aegon Nv 6.50% Perp Mty New Issue Pfd Cap Secs,AED,,,
829193,Nielsen Holdings PLC Shs,NLSN,,,
1054127,Koninklijke DSM,KDSKF,,,
469709,Summus Solutions NV,WENEF,,,
2034122,Sanford Ord Npv,SARDF,,,
2726566,Altice N.V. Ordf Class B,ALVVF,,,
2311008,Solon Eiendom Asa,BNRPF,,,
1219373,Norwegian Property As,NRWGF,,,
2386905,Intertrust Nv Eur0.6 144A Isin #Nl0010937058 Sedol #Bz24134,ITRUF,,,
1805269,Warehouse Group Ltd Ordf,WHGPF,,,
708446,Delta Lloyd Nv,DLLLF,,,
443300,Pike River Coal Ltd,PKRRF,,,
2144,Realty Income Corp,O,,,
396176,Strategic Total Return Secs Exch CBOE S&P 500 Buywrite Index,MBS-OLD03172024,,,
85664,Top Tankers Inc,TOPT-Old11042024,,,
2398665,Realty Income 9.375% Perpetual,OB-OLD,,,
2606570,Federated Capital Reserves,OSTROFEFINANCIALCUSIP-OGMP0013XE,,,
2606574,POM,OSTROFEFINANCIALCUSIP-OGMP0017H7,,,
2606638,PacLifeSelExec/MFS VIT Utilites SC,OSTROFEFINANCIALCUSIP-OGMP0015HZ,,,
2606653,Consolidated Cap Institutl Prpty 3 B,OSTROFEFINANCIALCUSIP-OGMP001672,,,
2606659,American Retirement Villas III,OSTROFEFINANCIALCUSIP-OSTP00014C,,,
2606701,Scholarshare Coll Sav/Golden State 1816,OSTROFEFINANCIALCUSIP-OGMP0014TL,,,
2606763,Thrift Savings Plan F Fund,OSTROFEFINANCIALCUSIP-OGMP0016AU,,,
2606846,TA Lndm/Endeavor T Rowe Price Int'l Stoc,OSTROFEFINANCIALCUSIP-OSTP0000W3,,,
2606872,JNL/Janus Aggressive Grwth,OSTROFEFINANCIALCUSIP-OSTP00018V,,,
2606878,PFL Excalibur II SPDA,OSTROFEFINANCIALCUSIP-OSTP0001B1,,,
2606890,MERTAC-Leisure,OSTROFEFINANCIALCUSIP-OSTP0001Q6,,,
2606898,MERTAC-Indust Equip,OSTROFEFINANCIALCUSIP-OSTP0001QS,,,
2606982,AIM Lifetime Plus Global Utilities,OSTROFEFINANCIALCUSIP-OSTP0013DN,,,
2606614,ICON US Conservative Portfolio,OSTROFEFINANCIALCUSIP-OGMP00167J,,,
2606636,PacLifeSelExec/LMCBA MidCap Core II,OSTROFEFINANCIALCUSIP-OGMP0015HX,,,
2606654,Ltd Ptrshp,OSTROFEFINANCIALCUSIP-OSTP0000FA,,,
2606668,Federated CA Muni Cash Trust,OSTROFEFINANCIALCUSIP-OGMP0013YI,,,
2606725,State Life Ins Co Fixed Annuity,OSTROFEFINANCIALCUSIP-OGMP0015IK,,,
2606785,LF MoneyGuard,OSTROFEFINANCIALCUSIP-OGMP0016Y8,,,
2606945,Innkeepers USA,OSTROFEFINANCIALCUSIP-OGMP0015UT,,,
2606958,John Hancock Intl Opportunities,OSTROFEFINANCIALCUSIP-OGMP0014MW,,,
992864,Pandora Media Inc,P,,,
2359420,Swift Foods Inc Com Isin Phy83 21K1035,SFDWF,,,
2137601,Eurobancshares Inc,298716200,,,
441414,W Holding Co Inc C Pfd,WBPRN,,,
1236627,Universal Rightfield Property Hldgs Php1,Y9296P101,,,
1002621,Lepanto Cons Mng Co,LECBF,,,
2160385,Tax-Free Puerto Rico Fund,87675M102,,,
2072386,Puerto Rico Investors F Tax Free Fund,74527K104,,,
1928913,Puerto Rico Invs Tax Free Fd Inc Trust I,745274100,,,
52835,McDermott International Inc,MDRIQ,,,
679337,Banco Espirito Santo E Comercl,BKESF,,,
1188958,NETIA SA,NTIAF,,,
363514,Triple-S Mgmt Cl B,GTS,,,
48594,Doral Financial Corp,DRLCQ,,,
470279,First Philippine Hld,FPHHF,,,
1665577,Sonae Capital Sgps Sa,SGPMF,,,
2311026,Cebu Air Inc Philippines,CEBUF,,,
1216439,Highlands Pacific Limited,HLPCF,,,
1508922,Portucel Empresa Produtora De Pasta E Papel Reg Shs,POELF,,,
697322,Metropolitan Bank & Tr Co,MTPOF,,,
1236633,Dmci Hldgs Inc Php1,DMCIF,,,
1508970,Sm Prime Holdging Inc Sys,SPHXF,,,
2133597,Polskie Gornictwo Naftowe i Gazownictwo SA,POGWF,,,
1055087,Philweb Corp Ord,PHWBF,,,
2078991,Abs-Cbn Corporation Pdr Each Repr 1 Ord Shs Php1,ABSOF,,,
2303932,Kingfish Ltd Wts Exp 5/5/2017,Q5304L149,,,
2300503,Quest Resource Hldg Corp Wts Exp 09/24/19,QRCWW,,,
2338431,QXTEB,QXTEB,,,
2361222,Morley Stable Value 55Bp Fee 25/30,QBBBQ,,,
2330866,West Wits Mining L Ordf,Q9762L104,,,
2422782,Virgin Australia Holdings Ltd Shs 12,Q9460P100,,,
2494899,Altona Mining Limited Npv,Q0268A106,,,
2556301,JNL Perspective II SEP,QuinnAJNLPII,,,
2544304,QM JAN17,QMF7,,,
2547055,AQR Intl Relaxed Constraint Equity I,QIRIX,,,
2547056,AQR Small Cap Relaxed Constraint Equity I,QSRIX,,,
2547054,AQR Emg Relaxed Constraint Equity I,QERIX,,,
2538051,Nevada Iron Ltd 1:2 R/S 12/2/1 6 Researching,Q6622K128,,,
2588517,Nz Petroleum Co Ord,Q67717100,,,
2588520,Abano Healthcare Group Ltd Shs,Q3393E100,,,
2735836,Unknown Product,QSYUW,,,
2726556,Aust Gas Light Ltd Orxxx Stock Merger Eff 10/12/06,Q09680101,,,
2726557,Australian Stk Exch Oxxx N/C To Asx Ltd Ord Eff 2/22/07,Q1080Z105,,,
2730211,Qwest Communications International INC,Q___Z,,,
1555549,Wesfarmers Ltd Shs 2013,Q95870301,,,
1555533,Wesfarmers Ltd Contra- Do Not Sell,Q9599B105,,,
1620898,Jacka Resources Limited Rts A1 16229,Q49818984,,,
1665353,AQR Emerging Core Equity L,QEELX,,,
44183,Ryder System Inc,R,,,
2574875,R,748001997,,,
2574884,R,929929115,,,
355293,BAA-Reynolds & Reynolds,",REYN&REYN",,,
2062235,Rosemawr (Restivo),ROSEMAWR (RESTIVO),,,
1065972,Unknown Product,RTUSTCP RT,,,
2341162,Kinnevik Ab Ser B Npv Isin #Se0008373906 Sedol #Bd6s7g3,KNVKF-OLD,,,
1283526,Cordlife Group Ltd Ord,CLIFF,,,
14040,AT&T Inc,T,,,
1561765,Formosa Chem & Fibre Cof,FMSFF,,,
679610,Thai Tap Water Supply,TTWSF,,,
842278,True Corporation Pcl Thb10 Alien Market,TCPFF,,,
697316,Charoen Pokpand Feedmill Publ,CPOUF,,,
1508965,Siam Commercial Bank Pcl Units,SMUUF,,,
1509007,Tupras Turkiye Petrol Shs,TUPRF,,,
781113,Siam Cement Public Co Ltd Units,SCVUF,,,
448509,Glow Energy Fgn Reg,GWEFF,,,
1188613,Gigabyte Technology Co Ltd,GGBYF,,,
2138339,Ptt Public Company Thb 10,PETFF,,,
673913,HTC Corporation,HTCXF,,,
2138323,United Refng Energy Corp Unit 1 Com & 1 Wt,URX U,,,
2816828,Forward USD/EUR,FORW-USD/EUR-1.7K-USD,,,
2736433,"Forward CHF/USD - Sell 11,181,134.38 USD/Buy 11,000,000 CHF - 09.02.2018",FORW-CHF/USD-11.1K-USD,,,
2243478,U.S. Servis Inc.,USRV,,,
2331765,Unknown Product,USTK,,,
2412344,Ust Excelsior Buyout Invesotrs Llc,USTEXCLLC,,,
2452141,Unmanaged Asset,UNMANAGED,,,
2712044,Larch Lane Absolute Return II LLC,UCF990031,,,
2712043,Larch Lane Absolute Return II LLC,UP0990038,,,
2737902,U.S. Small Stock Index,USSMSTKX,,,
1339358,UCBH Hldgs Inc Perp Pfd Conv Ser B,UBHGQ,,,
1439201,UC Pathway 2025,UCPATHWAY25,,,
1512801,USAA Flexible Income,USFIX,,,
1523354,QUO-0617 VY TRowePrice Eqty Income Pt Srv,UN:A29723BB,,,
1464776,US Small Cap Value Equity Index,USSMALLCAPVALEQ,,,
1509014,United Realty Group LP,URLPZ,,,
1559948,Allianz Charter Enh: Fed Clover SmallCap Value,USACEENFJ,,,
366700,Visa Inc,V,,,
2443179,VGI Value Index,VGI VIVIX,,,
2443233,VGI Total Int'l Stock Index,VGI VGTSX,,,
2443180,VGI Small Cap Index,VGI VSCIX,,,
2443230,VGI Total Stock Market Ind,VGI VISTX,,,
1170933,Vanguard Windsor II,Valic-VW,,,
1170931,Value Fund,Valic-VF,,,
2443095,VGI 500 Index,VGI VFINX,,,
2443178,VGI Growth Index,VGI VIGRX,,,
2443232,VGI Total Bond Market Index,VGI VBTIX,,,
1077302,Vanguard Money Market-Va,VMM VA,,,
1076627,Vanguard Balanced Fund-Va,$VBAL VA,,,
1076630,Vanguard Equity Income-Va,$VEIPX VA,,,
1076631,Vanguard Equity Index-Va,$VEQIN VA,,,
1076641,Vanguard International-Va,$VINTL VA,,,
1076635,Vanguard High Grade Bd-Va,$VHGB VA,,,
1076632,Vanguard Growth - Va,$VGRO VA,,,
1170932,Vanguard Long-Term Treasury,Valic-VLTT,,,
1284164,Vanguard High-Grade,VERUSCUSIP-VAHG,,,
1284162,Vanguard Equity Index,VERUSCUSIP-VAEI,,,
1284161,Vanguard Balanced,VERUSCUSIP-VABL,,,
1284163,Vanguard Growth,VERUSCUSIP-VAGF,,,
706971,Rio Novo Gold Inc,RIVVF,,,
1216035,Flatworld Acquisition Corp,FWLAF,,,
2703340,Biohaven Pharmaceutical Hldg Co Ltd Com Npv,BHVN-old10052022,,,
1775003,Wayfair Inc,W,,,
2494165,Qrp Loan,WALLERCUSIP-WLDP009U14,,,
2497849,American Electric Power (401k fund),WALLERCUSIP-WLLP000AVA,,,
2497877,MetLife American Funds Growth Fund,WALLERCUSIP-WLLP009REG,,,
2497851,Big Lots Inc. Rights,WALLERCUSIP-WLLP0004TY,,,
2497864,Lincoln Life World Wide (VA),WALLERCUSIP-WLLP0004YL,,,
2497994,Textainer Equip Inc III,WALLERCUSIP-WLLP0002J3,,,
2497403,BOA Neu Ber Amt Growth,WALLERCUSIP-WLLP0005LX,,,
2497406,Franklin Small Cap Growth II A (FE),WALLERCUSIP-WLLP0005QC,,,
2497381,MPP Special Fund II,WALLERCUSIP-WLLP0001SJ,,,
2497399,Putnum OTC & Em Growth,WALLERCUSIP-WLLP0005BN,,,
2497370,AEP Stock 401(k),WALLERCUSIP-WLLP000033,,,
2497402,Putnam New Opportunities,WALLERCUSIP-WLLP0005E9,,,
2497377,Manulife Bond Fund (EE),WALLERCUSIP-WLLP0001PE,,,
2497395,Evergreen Omega,WALLERCUSIP-WLLP00055U,,,
2497411,Int'l Stock Fund,WALLERCUSIP-WLLP0005XF,,,
2497432,Principal MedCap Blend,WALLERCUSIP-WLLP000N44,,,
2497444,MetLife VK Strategic Growth,WALLERCUSIP-WLLP000TNO,,,
2497414,Fidelity VIP Equity-Income,WALLERCUSIP-WLLP0008VP,,,
2497428,Strategic Partners Equity A,WALLERCUSIP-WLLP000L30,,,
2497470,Fidelity Advisor Mid-Cap,WALLERCUSIP-WLLP0087CQ,,,
2497418,JH Templeton Foreign,WALLERCUSIP-WLLP000GZF,,,
2497426,JH Growth Fund of America,WALLERCUSIP-WLLP000L2I,,,
2497997,Pensions,WALLERCUSIP-WLLP00024T,,,
2497438,PIMCO Total Return (FE),WALLERCUSIP-WLLP000SUP,,,
20410,US Steel Corp,X,,,
2504446,Firethorn,XFIRETHOR,,,
2504450,Ironwood Intl Cl A3 Sr 4,XIRONHAYS,,,
2504466,Montegra Capital Income Fund,XMONTEGRA,,,
2504437,Commonfund Capital Intl VII,XCCINTL7,,,
2504470,Portfolio Advisors PE Fund VIII,XPAPEFVIII,,,
2504478,TIFF Diversifying Strategies Fund,XTIFFARPH,,,
2504489,WP Global Corealpha PEP Partnership Fund IV,XWPGPEPIV,,,
2504506,Richman 3 Lakes Development Partners,XRICHMAN,,,
2504445,KKR Credit Select Access Fund,XEBERLKKR,,,
2504473,"SBA Partners, LLLP",XSBA,,,
2504487,WP Private Debt Co-Investment Fund,XWPCO,,,
2504431,Morgan Stanley AIP,XAIP,,,
2504432,Morgan Stanley AIP Fund Cl P,XAIPP,,,
2504471,Private Advisors Stable Value Sr 0113,XPASVFUND,,,
2504493,Portolio Advisors Real Estate Fund IV,XXPAREF4,,,
2489298,UAT Series C,XUATC,,,
2563042,Infiniti of Denver - Real Estate,XEBERL4,,,
2563043,Infiniti of Denver - Business,XEBERL5,,,
